id,ra_deg,dec_deg,magnitude,names
star/j004724+241612,11.85,24.27,4.08,
star/j013636+412436,24.15,41.41,4.09,
star/j154836+180824,237.15001,18.14,4.09,
star/j053712+091724,84.299995,9.29,4.09,
star/j182848-490412,277.19998,-49.07,4.1,
star/j074912-462212,117.3,-46.37,4.1,
star/j191012-392024,287.55,-39.34,4.1,
star/j103524-783636,158.85,-78.61,4.11,
star/j070336-153748,105.9,-15.63,4.11,
star/j083748-425924,129.45,-42.99,4.11,
star/j190936-375400,287.4,-37.9,4.11,
star/j230036-524500,345.15,-52.75,4.11,
star/j090036+414648,135.15001,41.78,4.11,
star/j024048-395136,40.2,-39.86,4.11,
star/j114648-611048,176.7,-61.18,4.11,
star/j153636-661912,234.15,-66.32,4.11,
star/j095136-145100,147.9,-14.85,4.11,
star/j093036-402812,142.65001,-40.47,4.12,
star/j041500+482436,63.75,48.41,4.12,
star/j223000-434500,337.5,-43.75,4.12,
star/j205136-265512,312.90002,-26.92,4.12,
star/j195512-415212,298.8,-41.87,4.12,
star/j060224+093900,90.6,9.65,4.12,
star/j023936-681612,39.9,-68.27,4.12,
star/j224612-812248,341.55002,-81.38,4.13,
star/j155400-164348,238.5,-16.73,4.13,
star/j052400-074836,81.0,-7.81,4.13,
star/j120524+084348,181.35,8.73,4.13,
